A1-VERB-126,A1,,studieren [sound:googletts-c19c0199-085a8d0d-57c03000-f55dc71e-bda659c1.mp3],study,,ich studiere&nbsp;<div>du studierst&nbsp;</div><div>er/sie/es studiert&nbsp;</div><div>wir studieren&nbsp;</div><div>ihr studiert&nbsp;</div><div>Sie studieren</div>,ich studierte&nbsp;<div>du studiertest&nbsp;</div><div>er/sie/es studierte&nbsp;</div><div>wir studierten&nbsp;</div><div>ihr studiertet&nbsp;</div><div>Sie studierten</div>,ich werde studieren&nbsp;<div>du wirst studieren&nbsp;</div><div>er/sie/es wird studieren&nbsp;</div><div>wir werden studieren&nbsp;</div><div>ihr werdet studieren&nbsp;</div><div>Sie werden studieren</div>,ich habe studiert&nbsp;<div>du hast studiert&nbsp;</div><div>er/sie/es hat studiert&nbsp;</div><div>wir haben studiert&nbsp;</div><div>ihr habt studiert&nbsp;</div><div>Sie haben studiert</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to study [sound:googletts-b23995b1-3f7a1eda-f319533e-75c5e1b1-1ef80754.mp3],I am studying in Mainz. [sound:googletts-8a1ddcfe-c60f8eb7-d2bf720c-c084f0f1-da792b88.mp3],Ich studiere in Mainz. [sound:googletts-9b74a268-94567b8e-6143fb8f-f3277491-9994d271.mp3],
A1-VERB-127,A1,,suchen [sound:googletts-c4f52429-6a78d90a-4728a986-a1137a39-dd3b745c.mp3],look for,,ich suche&nbsp;<div>du suchst&nbsp;</div><div>er/sie/es sucht&nbsp;</div><div>wir suchen&nbsp;</div><div>ihr sucht&nbsp;</div><div>Sie suchen</div>,ich suchte&nbsp;<div>du suchtest&nbsp;</div><div>er/sie/es suchte&nbsp;</div><div>wir suchten&nbsp;</div><div>ihr suchtet&nbsp;</div><div>Sie suchten</div>,ich werde suchen&nbsp;<div>du wirst suchen&nbsp;</div><div>er/sie/es wirdsuchen&nbsp;</div><div>wir werden suchen&nbsp;</div><div>ihr werdet suchen&nbsp;</div><div>Sie werden suchen</div>,ich habe gesucht&nbsp;<div>du hast gesucht&nbsp;</div><div>er/sie/es hat gesucht&nbsp;</div><div>wir haben gesucht&nbsp;</div><div>ihr habt gesucht&nbsp;</div><div>Sie haben gesucht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to look for [sound:googletts-479da98e-df9e7897-ee79e577-f926afd1-2665b652.mp3],Are you looking for something? [sound:googletts-952ecf6f-0559daa9-3cea3148-bf7fc3f8-95515a9b.mp3],Suchst du etwas? [sound:googletts-df8da758-cfdae042-f7fe61e9-05bcf63f-0ddf4d3a.mp3],
A1-VERB-128,A1,,tanzen [sound:googletts-767ff02c-8bc584c8-f0170348-a743726d-1674eed4.mp3],dance,,ich tanze&nbsp;<div>du tanzt&nbsp;</div><div>er/sie/es tanzt&nbsp;</div><div>wir tanzen&nbsp;</div><div>ihr tanzt&nbsp;</div><div>Sie tanzen</div>,ich tanzte&nbsp;<div>du tanztest&nbsp;</div><div>er/sie/es tanzte&nbsp;</div><div>wir tanzten&nbsp;</div><div>ihr tanztet&nbsp;</div><div>Sie tanzten</div>,ich werde tanzen&nbsp;<div>du wirst tanzen&nbsp;</div><div>er/sie/es wird tanzen&nbsp;</div><div>wir werden tanzen&nbsp;</div><div>ihr werdet tanzen&nbsp;</div><div>Sie werden tanzen</div>,ich habe getanzt&nbsp;<div>du hast getanzt&nbsp;</div><div>er/sie/es hat getanzt&nbsp;</div><div>wir haben getanzt&nbsp;</div><div>ihr habt getanzt&nbsp;</div><div>Sie haben getanzt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to dance [sound:googletts-b9888404-4904202e-3223f46d-97d20e3a-fdbff7ea.mp3],Do you like to dance? [sound:googletts-994fb9dc-823a459c-954b8f6b-e978b526-55869567.mp3],Tanzen Sie gern? [sound:googletts-1bb3b094-a381b6a4-a5de7b42-2afe00ba-62590772.mp3],
A1-VERB-129,A1,,telefonieren [sound:googletts-af28555c-94e83162-2da7319c-a44af793-0156d915.mp3],phone,,ich telefoniere&nbsp;<div>du telefonierst&nbsp;</div><div>er/sie/es telefoniert&nbsp;</div><div>wir telefonieren&nbsp;</div><div>ihr telefoniert&nbsp;</div><div>Sie telefonieren</div>,ich telefonierte&nbsp;<div>du telefoniertest&nbsp;</div><div>er/sie/es telefonierte&nbsp;</div><div>wir telefonierten&nbsp;</div><div>ihr telefoniertet&nbsp;</div><div>Sie telefonierten</div>,ich werde telefonieren&nbsp;<div>du wirst telefonieren&nbsp;</div><div>er/sie/es wird telefonieren&nbsp;</div><div>wir werden telefonieren&nbsp;</div><div>ihr werdet telefonieren&nbsp;</div><div>Sie werden telefonieren</div>,ich habe telefoniert&nbsp;<div>du hast telefoniert&nbsp;</div><div>er/sie/es hat telefoniert&nbsp;</div><div>wir haben telefoniert&nbsp;</div><div>ihr habt telefoniert&nbsp;</div><div>Sie haben telefoniert</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to phone [sound:googletts-17515ef4-b8102d23-305ae90c-292799b7-f92363fc.mp3],Can I make a phone call? [sound:googletts-c5b12ffe-031b6ce1-f5539729-76100d3b-cd52948c.mp3],Darf ich mal telefonieren? [sound:googletts-7cc1f272-22e80933-c8972330-114b7a19-2a0d9860.mp3],
A1-VERB-133,A1,,töten [sound:googletts-fba862e3-41af4872-08a10116-50db422a-4159d1b3.mp3],kill,,ich töte&nbsp;<div>du tötest&nbsp;</div><div>er/sie/es tötet&nbsp;</div><div>wir töten&nbsp;</div><div>ihr tötet&nbsp;</div><div>Sie töten</div>,ich tötete&nbsp;<div>du tötetest&nbsp;</div><div>er/sie/es tötete&nbsp;</div><div>wir töteten&nbsp;</div><div>ihr tötetet&nbsp;</div><div>Sie töteten</div>,ich werde töten&nbsp;<div>du wirst töten&nbsp;</div><div>er/sie/es wird töten&nbsp;</div><div>wir werden töten&nbsp;</div><div>ihr werdet töten&nbsp;</div><div>Sie werden töten</div>,ich habe getötet&nbsp;<div>du hast getötet&nbsp;</div><div>er/sie/es hat getötet&nbsp;</div><div>wir haben getötet&nbsp;</div><div>ihr habt getötet&nbsp;</div><div>Sie haben getötet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to kill&nbsp;[sound:googletts-b767837a-77b23909-34f65c17-93134d2d-02613697.mp3],I have never killed anything bigger than a spider.&nbsp;[sound:googletts-d652a20e-51e336ae-03780345-78442912-2482bceb.mp3],Ich habe noch nie etwas Größeres als eine Spinne getötet.&nbsp;[sound:googletts-38d02af2-1665acc0-e8bca5f8-7efff9ea-c7988da4.mp3],
A1-VERB-131,A1,,trinken [sound:googletts-4fcbcafe-d7d2f3c2-cb468ace-f4ec55d5-90659e99.mp3],drink,,ich trinke&nbsp;<div>du trinkst&nbsp;</div><div>er/sie/es trinkt&nbsp;</div><div>wir trinken&nbsp;</div><div>ihr trinkt&nbsp;</div><div>Sie trinken</div>,ich trank&nbsp;<div>du trankst&nbsp;</div><div>er/sie/es trank&nbsp;</div><div>wir tranken&nbsp;</div><div>ihr trankt&nbsp;</div><div>Sie tranken</div>,ich werde trinken&nbsp;<div>du wirst trinken&nbsp;</div><div>er/sie/es wird trinken&nbsp;</div><div>wir werden trinken&nbsp;</div><div>ihr werdet trinken&nbsp;</div><div>Sie werden trinken</div>,ich habe getrunken&nbsp;<div>du hast getrunken&nbsp;</div><div>er/sie/es hat getrunken&nbsp;</div><div>wir haben getrunken&nbsp;</div><div>ihr habt getrunken&nbsp;</div><div>Sie haben getrunken</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to drink [sound:googletts-a2f78d03-d44effd2-af9dff76-c27a0d82-90aadba2.mp3],Do you want something to drink? [sound:googletts-eed3a9f6-954a83b1-77614621-6ecb8f52-c717feeb.mp3],Möchtest du etwas trinken? [sound:googletts-5afb1461-2baeb28c-ede73d38-ded0fb2b-b0bb09c8.mp3],
A1-VERB-132,A1,,tun [sound:googletts-7c920f10-1a40d519-e33af6ff-2171dbaa-e16387bc.mp3],do,,ich tue&nbsp;<div>du tust&nbsp;</div><div>er/sie/es tut&nbsp;</div><div>wir tun&nbsp;</div><div>ihr tut&nbsp;</div><div>Sie tun</div>,ich tat&nbsp;<div>du tatst&nbsp;</div><div>er/sie/es tat&nbsp;</div><div>wir taten&nbsp;</div><div>ihr tatet&nbsp;</div><div>Sie taten</div>,ich werde tun&nbsp;<div>du wirst tun&nbsp;</div><div>er/sie/es wird tun&nbsp;</div><div>wir werden tun&nbsp;</div><div>ihr werdet tun&nbsp;</div><div>Sie werden tun</div>,ich habe getan&nbsp;<div>du hast getan&nbsp;</div><div>er/sie/es hat getan&nbsp;</div><div>wir haben getan&nbsp;</div><div>ihr habt getan&nbsp;</div><div>Sie haben getan</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to do (something) [sound:googletts-32b7b653-acb7c175-2827095d-4ea6f663-898aa5b6.mp3],I have to do something else. [sound:googletts-c035b307-5096eff7-2bc62449-c1678137-89a8f328.mp3],Ich habe noch etwas zu tun. [sound:googletts-bc337b4e-38d451bf-efdde1a4-34a015af-2809aca6.mp3],
A1-VERB-153,A1,,übernachten [sound:googletts-770dc8c7-07515656-04e2f9c5-c35bf998-999eaab7.mp3],stay over,,ich übernachte<br>du übernachtest<br>er/sie/es übernachtet<br>wir übernachten<br>ihr übernachtet<br>Sie übernachten,ich übernachtete<br>du übernachtetest<br>er/sie/es übernachtete<br>wir übernachteten<br>ihr übernachtetet<br>Sie übernachteten,ich werde übernachten&nbsp;<div>du wirst übernachten&nbsp;</div><div>er/sie/es wird übernachten&nbsp;</div><div>wir werden übernachten&nbsp;</div><div>ihr werdet übernachten</div><div>&nbsp;Sie werden übernachten</div>,ich habe übernachtet&nbsp;<div>du hast übernachtet&nbsp;</div><div>er/sie/es hat übernachtet&nbsp;</div><div>wir haben übernachtet&nbsp;</div><div>ihr habt übernachtet&nbsp;</div><div>Sie haben übernachtet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to stay over [sound:googletts-2b7f2604-f8e1b02a-b12c50e6-6bbcf672-f2ec9e26.mp3],You could stay over at my place. [sound:googletts-2c54c4ad-37a3c282-3f58b002-7a0fae9c-0661e6ae.mp3],Du kannst bei mir übernachten. [sound:googletts-8e573f3f-bb91b889-8ecaf132-cd52aa1b-33072d78.mp3],
A1-VERB-134,A1,,umziehen [sound:googletts-902e0973-44cac0a7-582d21d8-018b2fa7-f639088e.mp3],move,,ich umziehe&nbsp;<div>du umziehst&nbsp;</div><div>er/sie/es umzieht&nbsp;</div><div>wir umziehen&nbsp;</div><div>ihr umzieht&nbsp;</div><div>Sie umziehen</div>,ich umzog&nbsp;<div>du umzogst&nbsp;</div><div>er/sie/es umzog&nbsp;</div><div>wir umzogen&nbsp;</div><div>ihr umzogt&nbsp;</div><div>Sie umzogen</div>,ich werde umziehen&nbsp;<div>du wirst umziehen&nbsp;</div><div>er/sie/es wird umziehen&nbsp;</div><div>wir werden umziehen&nbsp;</div><div>ihr werdet umziehen&nbsp;</div><div>Sie werden umziehen</div>,ich habe umzogen&nbsp;<div>du hast umzogen&nbsp;</div><div>er/sie/es hat umzogen&nbsp;</div><div>wir haben umzogen&nbsp;</div><div>ihr habt umzogen&nbsp;</div><div>Sie haben umzogen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to move [sound:googletts-a691aaa3-b499f96c-3de653b2-a1738f75-bba83d74.mp3],We're moving next month. [sound:googletts-c9b8db4e-70f8de1a-a102f295-b2af8bc8-83cc805b.mp3],Nächsten Monat ziehen wir um. [sound:googletts-e5e83019-30e74dd1-60ce5704-7ea73f10-4c2aaaa3.mp3],
A1-VERB-135,A1,,unterschreiben [sound:googletts-076da803-96ef42ce-bc2a1fc4-ad296fe0-090d4016.mp3],sign&nbsp;,,ich unterschreibe&nbsp;<div>du unterschreibst&nbsp;</div><div>er/sie/es unterschreibt&nbsp;</div><div>wir unterschreiben&nbsp;</div><div>ihr unterschreibt&nbsp;</div><div>Sie unterschreiben</div>,ich unterschrieb&nbsp;<div>du unterschriebst&nbsp;</div><div>er/sie/es unterschrieb&nbsp;</div><div>wir unterschrieben&nbsp;</div><div>ihr unterschriebt&nbsp;</div><div>Sie unterschrieben</div>,ich werde unterschreiben&nbsp;<div>du wirst unterschreiben&nbsp;</div><div>er/sie/es wird unterschreiben&nbsp;</div><div>wir werden unterschreiben&nbsp;</div><div>ihr werdet unterschreiben&nbsp;</div><div>Sie werden unterschreiben</div>,ich habe unterschrieben&nbsp;<div>du hast unterschrieben&nbsp;</div><div>er/sie/es hat unterschrieben&nbsp;</div><div>wir haben unterschrieben&nbsp;</div><div>ihr habt unterschrieben&nbsp;</div><div>Sie haben unterschrieben</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to sign something&nbsp;[sound:googletts-e6835394-88f3ed4c-58905bf8-6a8f6cd1-28142044.mp3],Where do I have to sign? [sound:googletts-5bbce96b-845aa90f-0d85198d-03e1d242-59b576ca.mp3],Wo muss ich unterschreiben? [sound:googletts-39151d37-29f65a98-fc28d7fc-86f85181-dfd63b15.mp3],
A1-VERB-136,A1,,verboten [sound:googletts-1096f46f-ea73b8fb-6ed82b6f-ff27cf93-f0268899.mp3],forbid,,ich verbiete&nbsp;<div>du verbietest&nbsp;</div><div>er/sie/es verbietet&nbsp;</div><div>wir verbieten&nbsp;</div><div>ihr verbietet&nbsp;</div><div>Sie verbieten</div>,ich verbot&nbsp;<div>du verbotst&nbsp;</div><div>er/sie/es verbot&nbsp;</div><div>wir verboten&nbsp;</div><div>ihr verbotet&nbsp;</div><div>Sie verboten</div>,ich werde verbieten&nbsp;<div>du wirst verbieten&nbsp;</div><div>er/sie/es wird verbieten&nbsp;</div><div>wir werden verbieten&nbsp;</div><div>ihr werdet verbieten&nbsp;</div><div>Sie werden verbieten</div>,ich habe verboten&nbsp;<div>du hast verboten&nbsp;</div><div>er/sie/es hat verboten&nbsp;</div><div>wir haben verboten&nbsp;</div><div>ihr habt verboten&nbsp;</div><div>Sie haben verboten</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to forbid [sound:googletts-2d3d6ed9-4baffe4f-11ea41a5-499be2d9-6de6902d.mp3],Here smoking is prohibited. [sound:googletts-7bd6e396-da616ef0-7d90d005-2cdc5538-d7a92b80.mp3],Hier ist Rauchen verboten. [sound:googletts-1012cd2c-2cd901f0-af891efd-1c659267-3101dd55.mp3],
A1-VERB-137,A1,,verdienen [sound:googletts-68943c78-6ef4027d-ace88a29-c2f6761e-99819409.mp3],earn,,ich verdiene&nbsp;<div>du verdienst&nbsp;</div><div>er/sie/es verdient&nbsp;</div><div>wir verdienen&nbsp;</div><div>ihr verdient&nbsp;</div><div>Sie verdienen</div>,ich verdiente&nbsp;<div>du verdientest&nbsp;</div><div>er/sie/es verdiente&nbsp;</div><div>wir verdienten&nbsp;</div><div>ihr verdientet&nbsp;</div><div>Sie verdienten</div>,ich werde verdienen&nbsp;<div>du wirst verdienen&nbsp;</div><div>er/sie/es wird verdienen&nbsp;</div><div>wir werden verdienen&nbsp;</div><div>ihr werdet verdienen&nbsp;</div><div>Sie werden verdienen</div>,ich habe verdient&nbsp;<div>du hast verdient&nbsp;</div><div>er/sie/es hat verdient&nbsp;</div><div>wir haben verdient&nbsp;</div><div>ihr habt verdient&nbsp;</div><div>Sie haben verdient</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to earn [sound:googletts-d6b00bf1-5ab91631-05df84be-666e45d9-088cd4c2.mp3],"I earn 1,500 euros a month. [sound:googletts-b6d78cdd-1fa352e9-19186a0b-65bce00c-d68294b9.mp3]",Ich verdiene 1.500 Euro im Monat. [sound:googletts-2a2bc1ed-1400ea34-3867550d-28d2cdfc-a05fad46.mp3],
A1-VERB-138,A1,,verkaufen [sound:googletts-a1917593-b125d24d-eccfceea-8522383d-896cfb7e.mp3],sell,,ich verkaufe&nbsp;<div>du verkaufst&nbsp;</div><div>er/sie/es verkauft&nbsp;</div><div>wir verkaufen&nbsp;</div><div>ihr verkauft&nbsp;</div><div>Sie verkaufen</div>,ich verkaufte&nbsp;<div>du verkauftest&nbsp;</div><div>er/sie/es verkaufte&nbsp;</div><div>wir verkauften&nbsp;</div><div>ihr verkauftet&nbsp;</div><div>Sie verkauften</div>,ich werde verkaufen&nbsp;<div>du wirst verkaufen&nbsp;</div><div>er/sie/es wird verkaufen&nbsp;</div><div>wir werden verkaufen&nbsp;</div><div>ihr werdet verkaufen&nbsp;</div><div>Sie werden verkaufen</div>,ich habe verkauft&nbsp;<div>du hast verkauft&nbsp;</div><div>er/sie/es hat verkauft&nbsp;</div><div>wir haben verkauft&nbsp;</div><div>ihr habt verkauft&nbsp;</div><div>Sie haben verkauft</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to sell [sound:googletts-ea97b18a-cdd3bb54-7b5c15ed-dc6b84da-831875a1.mp3],He sold his old car. [sound:googletts-9811cb06-898e8d09-7879f915-b1b62cfb-7b5ef3e0.mp3],Er verkauft sein altes Auto. [sound:googletts-063d3100-aefef60a-46b3749b-06f0d7c9-c6446406.mp3],
A1-VERB-139,A1,,vermieten [sound:googletts-c5ea0e20-816b5b35-52bade71-7c0103b9-ad598cb8.mp3],rent,,ich vermiete&nbsp;<div>du vermietest&nbsp;</div><div>er/sie/es vermietet&nbsp;</div><div>wir vermieten&nbsp;</div><div>ihr vermietet&nbsp;</div><div>Sie vermieten</div>,ich vermietete&nbsp;<div>du vermietetest&nbsp;</div><div>er/sie/es vermietete&nbsp;</div><div>wir vermieteten&nbsp;</div><div>ihr vermietetet&nbsp;</div><div>Sie vermieteten</div>,ich werde vermieten&nbsp;<div>du wirst vermieten&nbsp;</div><div>er/sie/es wird vermieten&nbsp;</div><div>wir werden vermieten&nbsp;</div><div>ihr werdet vermieten&nbsp;</div><div>Sie werden vermieten</div>,ich habe vermietet&nbsp;<div>du hast vermietet&nbsp;</div><div>er/sie/es hat vermietet&nbsp;</div><div>wir haben vermietet&nbsp;</div><div>ihr habt vermietet&nbsp;</div><div>Sie haben vermietet</div>,haben&nbsp;[sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to rent [sound:googletts-69144e0b-5d882b42-32d6ed4c-09ab4f2c-3727367a.mp3],The apartment is already rented. [sound:googletts-13cf0fd4-c1661a9f-7c7af9ed-acccdb2a-08d048c9.mp3],Die Wohnung ist schon vermietet. [sound:googletts-7027c12f-fdc96aaf-c83afb06-dae67917-9a564355.mp3],
A1-VERB-140,A1,,verstehen [sound:googletts-5ee8b377-2bb21e52-eacda6e1-0264d2e8-7678bd82.mp3],understand,,ich verstehe&nbsp;<div>du verstehst&nbsp;</div><div>er/sie/es versteht&nbsp;</div><div>wir verstehen&nbsp;</div><div>ihr versteht&nbsp;</div><div>Sie verstehen</div>,ich verstand&nbsp;<div>du verstandst&nbsp;</div><div>er/sie/es verstand&nbsp;</div><div>wir verstanden&nbsp;</div><div>ihr verstandet&nbsp;</div><div>Sie verstanden</div>,ich werde verstehen&nbsp;<div>du wirst verstehen&nbsp;</div><div>er/sie/es wirdverstehen&nbsp;</div><div>wir werden verstehen&nbsp;</div><div>ihr werdet verstehen&nbsp;</div><div>Sie werden verstehen</div>,ich habe verstanden&nbsp;<div>du hast verstanden&nbsp;</div><div>er/sie/es hat verstanden&nbsp;</div><div>wir haben verstanden&nbsp;</div><div>ihr habt verstanden&nbsp;</div><div>Sie haben verstanden</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to understand [sound:googletts-eb137e49-2eed6b60-a87ac805-f2965474-b04ad970.mp3],Can you understand me? [sound:googletts-d64cf335-0587e879-6444ada0-7c49d537-6eed178a.mp3],Können Sie mich verstehen? [sound:googletts-84a9b18b-c3d5c46b-ca65501e-abb94ceb-2874f879.mp3],
A1-VERB-141,A1,,vorstellen (sich)&nbsp;[sound:googletts-0ffda56a-b4b4bd90-a4a115d5-0a2bf4f1-b2aa62d2.mp3],introduce,,ich stelle vor&nbsp;<div>du stellst vor&nbsp;</div><div>er/sie/es stellt vor&nbsp;</div><div>wir stellen vor&nbsp;</div><div>ihr stellt vor&nbsp;</div><div>Sie stellenvor</div>,ich stellte vor&nbsp;<div>du stelltest vor&nbsp;</div><div>er/sie/es stellte vor&nbsp;</div><div>wir stellten vor</div><div>ihr stelltet vor&nbsp;</div><div>Sie stellten vor</div>,ich werde vorstellen&nbsp;<div>du wirst vorstellen&nbsp;</div><div>er/sie/es wird vorstellen&nbsp;</div><div>wir werden vorstellen&nbsp;</div><div>ihr werdet vorstellen&nbsp;</div><div>Sie werden vorstellen</div>,ich habe vorgestellt&nbsp;<div>du hast vorgestellt&nbsp;</div><div>er/sie/es hat vorgestellt&nbsp;</div><div>wir haben vorgestellt&nbsp;</div><div>ihr habt vorgestellt&nbsp;</div><div>Sie haben vorgestellt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to introduce [sound:googletts-9fa5e0ff-c6dbbac8-f532d56a-ba38f62f-fd7c7450.mp3],We want to get to know each other. Could you please introduce yourself? [sound:googletts-166f2d7c-0bd6e259-5ede516e-87769c72-61e46331.mp3],Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen? [sound:googletts-7dd31555-facf6814-4a5cfbd9-88a58a8f-83320118.mp3],
A1-VERB-142,A1,,wandern [sound:googletts-3c1b6140-3604a8ac-bea32852-2a7ec285-3736786b.mp3],wander,,ich wandere&nbsp;<div>du wanderst&nbsp;</div><div>er/sie/es wandert&nbsp;</div><div>wir wandern&nbsp;</div><div>ihr wandert&nbsp;</div><div>Sie wandern</div>,ich wanderte&nbsp;<div>du wandertest&nbsp;</div><div>er/sie/es wanderte&nbsp;</div><div>wir wanderten&nbsp;</div><div>ihr wandertet&nbsp;</div><div>Sie wanderten</div>,ich werde wandern&nbsp;<div>du wirst wandern&nbsp;</div><div>er/sie/es wird wandern&nbsp;</div><div>wir werden wandern&nbsp;</div><div>ihr werdet wandern&nbsp;</div><div>Sie werden wandern</div>,ich bin gewandert&nbsp;<div>du bist gewandert&nbsp;</div><div>er/sie/es ist gewandert&nbsp;</div><div>wir sind gewandert&nbsp;</div><div>ihr seid gewandert&nbsp;</div><div>Sie sind gewandert</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to wander [sound:googletts-9a729c57-2401f131-ff067db2-f5bdcc3d-1af9215a.mp3],We walk around the lake. [sound:googletts-fc54933d-7b8a55f8-606b1f71-ee13e23a-e499f122.mp3],Wir wandern um den Chiemsee. [sound:googletts-8189029c-f60818d2-8db273ee-6887730b-d414a75e.mp3],
A1-VERB-143,A1,,warten [sound:googletts-d68ec772-f4efc012-c8f9fdc2-21c378db-424a8d8f.mp3],wait,,ich warte&nbsp;<div>du wartest&nbsp;</div><div>er/sie/es wartet&nbsp;</div><div>wir warten&nbsp;</div><div>ihr wartet&nbsp;</div><div>Sie warten</div>,ich wartete&nbsp;<div>du wartetest&nbsp;</div><div>er/sie/es wartete&nbsp;</div><div>wir warteten&nbsp;</div><div>ihr wartetet&nbsp;</div><div>Sie warteten</div>,ich werde warten&nbsp;<div>du wirst warten&nbsp;</div><div>er/sie/es wird warten&nbsp;</div><div>wir werden warten&nbsp;</div><div>ihr werdet warten&nbsp;</div><div>Sie werden warten</div>,ich habe gewartet&nbsp;<div>du hast gewartet&nbsp;</div><div>er/sie/es hat gewartet&nbsp;</div><div>wir haben gewartet&nbsp;</div><div>ihr habt gewartet&nbsp;</div><div>Sie haben gewartet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to wait [sound:googletts-0d2e7bba-0c057d9f-5e402ffb-4c3c2477-188088f4.mp3],Can you wait a few minutes? [sound:googletts-a11ccf37-c9426b50-748f1a08-ad39b576-4168621d.mp3],Können Sie ein paar Minuten warten? [sound:googletts-cfd6dc67-feec4549-b57d81e3-1b07836a-a9efc281.mp3],
A1-VERB-145,A1,,weh tun [sound:googletts-03d31c14-4bcd73c0-da93ffb4-0acfe9f8-8e20e5b7.mp3],hurt,,ich tue&nbsp;<div>du tust&nbsp;</div><div>er/sie/es tut&nbsp;</div><div>wir tun&nbsp;</div><div>ihr tut&nbsp;</div><div>Sie tun</div>,ich tat&nbsp;<div>du tatst&nbsp;</div><div>er/sie/es tat&nbsp;</div><div>wir taten&nbsp;</div><div>ihr tatet&nbsp;</div><div>Sie taten</div>,ich werde tun&nbsp;<div>du wirst tun&nbsp;</div><div>er/sie/es wirdtun&nbsp;</div><div>wir werden tun&nbsp;</div><div>ihr werdet tun&nbsp;</div><div>Sie werden tun</div>,ich habe getan&nbsp;<div>du hast getan&nbsp;</div><div>er/sie/es hat getan&nbsp;</div><div>wir haben getan&nbsp;</div><div>ihr habt getan&nbsp;</div><div>Sie haben getan</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to hurt [sound:googletts-b30a5d5e-6f25e8a3-fd32fb2b-7c318faa-ca3bc23b.mp3],I have to go to the doctor. My leg hurts. [sound:googletts-85d4743b-33d520b6-2b3ee90a-189141ab-eb0056f1.mp3],Ich muss zum Arzt. Mein Bein tut weh. [sound:googletts-192d2209-4353dfdd-06dd9207-8a2930ae-aefd9c61.mp3],
A1-VERB-146,A1,,werden [sound:googletts-d4ed06ac-7c7bc25a-a9a622e4-f2fc6f6e-a4158450.mp3],become,,ich werde&nbsp;<div>du wirst&nbsp;</div><div>er/sie/es wird&nbsp;</div><div>wir werden&nbsp;</div><div>ihr werdet&nbsp;</div><div>Sie werden</div>,ich wurde&nbsp;<div>du wurdest&nbsp;</div><div>er/sie/es wurde&nbsp;</div><div>wir wurden&nbsp;</div><div>ihr wurdet&nbsp;</div><div>Sie wurden</div>,ich werde werden&nbsp;<div>du wirst werden&nbsp;</div><div>er/sie/es wird werden&nbsp;</div><div>&nbsp;wir werden werden&nbsp;</div><div>ihr werdet werden&nbsp;</div><div>Sie werden werden</div>,ich bingeworden&nbsp;<div>du bistgeworden&nbsp;</div><div>er/sie/es istgeworden&nbsp;</div><div>wir sindgeworden&nbsp;</div><div>ihr seidgeworden&nbsp;</div><div>Sie sindgeworden</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to become [sound:googletts-849b9452-a95be2a0-90a1a5bc-041aff0b-cae0d951.mp3],My son wants to become a doctor. [sound:googletts-28f78027-7ca66647-b243d8ae-ffbd8314-3d654c5a.mp3],Mein Sohn will Arzt werden. [sound:googletts-f5a6f896-83a36633-01088b0c-dc631edd-c0971a91.mp3],
